Name;Platform;Year_of_Release;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Rating
Gran Turismo 3: A-Spec;PS2;2001;Racing;Sony Computer Entertainment;6.85;5.09;1.87;1.16;14.98;95;54;8.4;314;E
Pokemon X/Pokemon Y;3DS;2013;Role-Playing;Nintendo;5.39;4.37;4.36;0.8;14.92; ; ; ; ;
Call of Duty: Black Ops 3;PS4;2015;Shooter;Activision;6.08;5.95;0.36;2.41;14.8; ; ; ; ;
Call of Duty: Modern Warfare 3;X360;2011;Shooter;Activision;9.06;4.26;0.13;1.33;14.77;88;81;3.4;8715;M
Call of Duty: Black Ops;X360;2010;Shooter;Activision;9.73;3.7;0.11;1.13;14.67;87;89;6.3;1456;M
Pok\xc3\xa9mon Yellow: Special Pikachu Edition;G;1998;Role-Playing;Nintendo;5.89;5.04;3.12;0.59;14.64; ; ; ; ;
Call of Duty: Black Ops II;PS3;2012;Shooter;Activision;4.99;5.73;0.65;2.42;13.79;83;21;5.3;921;M
Call of Duty: Black Ops II;X360;2012;Shooter;Activision;8.25;4.26;0.07;1.12;13.69;83;73;4.8;2261;M
Call of Duty: Modern Warfare 2;X360;2009;Shooter;Activision;8.52;3.6;0.08;1.28;13.48;94;100;6.3;2702;M
Grand Theft Auto V;PS4;2014;Action;Take-Two Interactive;4.12;6.77;0.39;2.08;13.36;97;66;8.3;2955;M
Call of Duty: Modern Warfare 3;PS3;2011;Shooter;Activision;5.54;5.73;0.49;1.57;13.32;88;39;3.2;5237;M
Grand Theft Auto III;PS2;2001;Action;Take-Two Interactive;6.99;4.51;0.3;1.3;13.1;97;56;8.5;667;M
Mario Kart 7;3DS;2011;Racing;Nintendo;5.2;4.19;2.7;0.94;13.04;85;73;8.2;633;E
Super Smash Bros. Brawl;Wii;2008;Fighting;Nintendo;6.64;2.56;2.66;1.01;12.87;93;81;8.9;1667;T
Call of Duty: Black Ops;PS3;2010;Shooter;Activision;6;4.37;0.48;1.8;12.64;88;58;6.4;1095;M
Animal Crossing: Wild World;DS;2005;Simulation;Nintendo;2.5;3.45;5.33;0.86;12.13;86;57;8.6;243;E
Halo 3;X360;2007;Shooter;Microsoft Game Studios;7.97;2.81;0.13;1.21;12.12;94;86;7.8;4109;M
Pokemon Omega Ruby/Pokemon Alpha Sapphire;3DS;2014;Role-Playing;Nintendo;4.45;3.64;3.1;0.76;11.95; ; ; ; ;
Super Mario 64;N64;1996;Platform;Nintendo;6.91;2.85;1.91;0.23;11.89; ; ; ; ;
Pokemon HeartGold/Pokemon SoulSilver;DS;2009;Action;Nintendo;4.34;2.71;3.96;0.76;11.77; ; ; ; ;
Gran Turismo 4;PS2;2004;Racing;Sony Computer Entertainment;3.01;0.01;1.1;7.53;11.66;89;74;8.5;273;E
Pokemon Sun/Moon;3DS;2016;Role-Playing;Nintendo;5.01;2.74;2.88;0.77;11.4; ; ; ; ;
Super Mario Galaxy;Wii;2007;Platform;Nintendo;6.06;3.36;1.2;0.74;11.36;97;73;8.9;2159;E
Super Mario Land 2: 6 Golden Coins;G;1992;Adventure;Nintendo;6.16;2.04;2.69;0.29;11.18; ; ; ; ;
Grand Theft Auto IV;X360;2008;Action;Take-Two Interactive;6.77;3.07;0.14;1.03;11.01;98;86;7.9;2958;M
Gran Turismo;PS;1997;Racing;Sony Computer Entertainment;4.02;3.87;2.54;0.52;10.95;96;16;8.8;140;E
Super Mario 3D Land;3DS;2011;Platform;Nintendo;4.89;3.05;2.14;0.78;10.87;90;82;8.4;925;E
Gran Turismo 5;PS3;2010;Racing;Sony Computer Entertainment;2.96;4.82;0.81;2.11;10.7;84;82;7.5;1115;E
Call of Duty: Modern Warfare 2;PS3;2009;Shooter;Activision;4.99;3.64;0.38;1.6;10.6;94;67;6.3;2077;M
Super Mario All-Stars;SNES;1993;Platform;Nintendo;5.99;2.15;2.12;0.29;10.55; ; ; ; ;
Grand Theft Auto IV;PS3;2008;Action;Take-Two Interactive;4.77;3.7;0.44;1.61;10.51;98;64;7.5;2849;M
Pokemon FireRed/Pokemon LeafGreen;GBA;2004;Role-Playing;Nintendo;4.34;2.65;3.15;0.35;10.49; ; ; ; ;
Super Mario 64;DS;2004;Platform;Nintendo;5.01;3.07;1.25;0.97;10.31; ; ; ; ;
Call of Duty: Ghosts;X360;2013;Shooter;Activision;6.75;2.58;0.04;0.91;10.28;73;29;2.6;2118;M
Just Dance 3;Wii;2011;Misc;Ubisoft;5.95;3.11;0;1.06;10.12;74;15;7.8;16;E10+
New Super Mario Bros. 2;3DS;2012;Platform;Nintendo;3.66;3.27;2.49;0.63;10.05;78;70;7.2;425;E
Halo: Reach;X360;2010;Shooter;Microsoft Game Studios;7.06;1.97;0.08;0.79;9.9;91;99;7.9;2053;M
Mario Kart 64;N64;1996;Racing;Nintendo;5.55;1.94;2.23;0.15;9.87; ; ; ; ;
Halo 4;X360;2012;Shooter;Microsoft Game Studios;6.68;2.3;0.04;0.74;9.77;87;87;7;3273;M
Final Fantasy VII;PS;1997;Role-Playing;Sony Computer Entertainment;3.01;2.47;3.28;0.96;9.72;92;20;9.2;1297;T
Gran Turismo 2;PS;1999;Racing;Sony Computer Entertainment;3.88;3.42;1.69;0.5;9.49;93;23;9;135;T
Just Dance 2;Wii;2010;Misc;Ubisoft;5.8;2.85;0.01;0.78;9.44;74;24;7.3;24;E10+
Call of Duty: Ghosts;PS3;2013;Shooter;Activision;4.1;3.63;0.38;1.26;9.37;71;10;2.6;1049;M
Call of Duty 4: Modern Warfare;X360;2007;Shooter;Activision;5.95;2.37;0.13;0.9;9.35;94;70;8.4;1322;M
Animal Crossing: New Leaf;3DS;2012;Simulation;Nintendo;2.08;2.43;4.43;0.4;9.34;88;70;8.7;628;E
Donkey Kong Country;SNES;1994;Platform;Nintendo;4.36;1.71;3;0.23;9.3; ; ; ; ;
Minecraft;X360;2013;Misc;Microsoft Game Studios;5.76;2.7;0.02;0.82;9.3; ; ; ; ;
FIFA 17;PS4;2016;Sports;Electronic Arts;0.9;6.75;0.09;1.33;9.07;85;41;4.9;442;E
Mario Party DS;DS;2007;Misc;Nintendo;4.4;1.85;1.98;0.68;8.91;72;27;7.8;85;E
The Elder Scrolls V: Skyrim;X360;2011;Role-Playing;Bethesda Softworks;5.08;2.8;0.1;0.86;8.84;96;89;8.4;3602;M
Super Mario Kart;SNES;1992;Racing;Nintendo;3.54;1.24;3.81;0.18;8.76; ; ; ; ;
FIFA 16;PS4;2015;Sports;Electronic Arts;1.13;6.13;0.06;1.28;8.6;82;42;4.3;902;E
Halo 2;X;2004;Shooter;Microsoft Game Studios;6.82;1.53;0.05;0.08;8.49;95;91;8.2;1224;M
Wii Party;Wii;2010;Misc;Nintendo;1.75;3.48;2.49;0.67;8.39;68;42;7.5;55;E
Mario Party 8;Wii;2007;Misc;Nintendo;3.74;2.25;1.58;0.71;8.28;62;41;6.3;191;E
Star Wars Battlefront (2015);PS4;2015;Shooter;Electronic Arts;3.11;3.56;0.22;1.32;8.21; ; ; ; ;
FIFA Soccer 13;PS3;2012;Action;Electronic Arts;1.07;5.01;0.13;1.97;8.17;88;37;6.5;350;E
GoldenEye 007;N64;1997;Shooter;Nintendo;5.8;2.01;0.13;0.15;8.09; ; ; ; ;
Pokemon Black 2/Pokemon White 2;DS;2012;Role-Playing;Nintendo;2.79;1.72;3.15;0.41;8.08; ; ; ; ;
Final Fantasy X;PS2;2001;Role-Playing;Sony Computer Entertainment;2.91;2.07;2.73;0.33;8.05;92;53;8.7;1077;T
The Sims 3;PC;2009;Simulation;Electronic Arts;0.99;6.42;0;0.6;8.01;86;75;7.6;894;T
Mario & Sonic at the Olympic Games;Wii;2007;Sports;Sega;2.57;3.86;0.66;0.91;7.99; ; ; ; ;
Final Fantasy VIII;PS;1999;Role-Playing;SquareSoft;2.28;1.72;3.63;0.23;7.86;90;24;8.6;658;T
Pac-Man;2600;1982;Puzzle;Atari;7.28;0.45;0;0.08;7.81; ; ; ; ;
Pok\xc3\xa9mon Platinum Version;DS;2008;Role-Playing;Nintendo;2.76;1.72;2.69;0.54;7.72;83;46;8.5;204;E
Grand Theft Auto: Liberty City Stories;PSP;2005;Action;Take-Two Interactive;2.9;2.81;0.24;1.73;7.69;88;65;7.6;453;M
Call of Duty: Advanced Warfare;PS4;2014;Shooter;Activision;2.83;3.48;0.14;1.24;7.68;83;39;5.7;1446;M
Super Smash Bros. for Wii U and 3DS;3DS;2014;Fighting;Nintendo;3.3;1.4;2.44;0.48;7.62; ; ; ; ;
The Legend of Zelda: Ocarina of Time;N64;1998;Action;Nintendo;4.1;1.89;1.45;0.16;7.6; ; ; ; ;
Crash Bandicoot 2: Cortex Strikes Back;PS;1997;Platform;Sony Computer Entertainment;3.78;2.17;1.31;0.31;7.58; ; ; ; ;
Super Mario Galaxy 2;Wii;2010;Platform;Nintendo;3.58;2.36;0.98;0.62;7.54;97;87;9.1;1859;E
Super Mario Bros. 2;NES;1988;Platform;Nintendo;5.39;1.18;0.7;0.19;7.46; ; ; ; ;
Call of Duty: Black Ops 3;XOne;2015;Shooter;Activision;4.62;2.12;0.02;0.69;7.44; ; ; ; ;
Call of Duty: World at War;X360;2008;Shooter;Activision;4.83;1.9;0;0.7;7.42;84;84;7.6;583;M
Fallout 4;PS4;2015;Role-Playing;Bethesda Softworks;2.58;3.42;0.24;1.17;7.41;87;58;6.5;4258;M
Battlefield 3;X360;2011;Shooter;Electronic Arts;4.47;2.11;0.06;0.69;7.33;84;57;7.4;2144;M
Uncharted 4: A Thiefs End;PS4;2016;Shooter;Sony Computer Entertainment;2.92;2.98;0.19;1.18;7.28;93;113;7.9;7238;T
Mario Kart 8;WiiU;2014;Racing;Nintendo;3.17;2.25;1.29;0.52;7.23;88;82;9.1;1607;E
Need for Speed Underground;PS2;2003;Racing;Electronic Arts;3.27;2.83;0.08;1.02;7.2;85;33;8.6;172;E
Just Dance;Wii;2009;Misc;Ubisoft;3.48;2.99;0;0.73;7.2;49;21;8;110;E10+
Battlefield 3;PS3;2011;Shooter;Electronic Arts;2.86;2.89;0.35;1.08;7.18;85;38;7.5;1762;M
Tekken 3;PS;1998;Fighting;Sony Computer Entertainment;3.27;2.22;1.4;0.29;7.16;96;15;9.1;371;T
The Legend of Zelda: Twilight Princess;Wii;2006;Action;Nintendo;3.74;2.14;0.6;0.68;7.16;95;73;9;1664;T
Crash Bandicoot 3: Warped;PS;1998;Platform;Sony Computer Entertainment;3.68;1.75;1.42;0.28;7.13;91;12;8.9;439;E
Super Smash Bros. Melee;GC;2001;Fighting;Nintendo;4.41;1.04;1.39;0.22;7.07;92;38;9.1;573;T
Mario Kart: Double Dash!!;GC;2003;Racing;Nintendo;4.12;1.77;0.87;0.19;6.95; ; ; ; ;
Need for Speed Underground 2;PS2;2004;Racing;Electronic Arts;2.71;3.02;0.08;1.09;6.9;82;39;8.6;132;E
Medal of Honor: Frontline;PS2;2002;Shooter;Electronic Arts;2.93;2.75;0.17;0.99;6.83;88;29;8.5;137;T
Crash Bandicoot;PS;1996;Platform;Sony Computer Entertainment;3.23;2.35;0.94;0.3;6.82; ; ; ; ;
Just Dance 4;Wii;2012;Misc;Ubisoft;4.05;2.16;0;0.55;6.76;74;10;7.2;29;E10+
Gears of War 2;X360;2008;Shooter;Microsoft Game Studios;4.15;1.9;0.06;0.64;6.75;93;90;7.7;2746;M
Uncharted 3: Drakes Deception;PS3;2011;Action;Sony Computer Entertainment;2.77;2.75;0.19;1.03;6.74;92;97;8.3;3732;T
Zumba Fitness;Wii;2010;Sports;505 Games;3.46;2.6;0;0.66;6.72; ; ; ; ;E
Call of Duty 4: Modern Warfare;PS3;2007;Shooter;Activision;3.11;2.26;0.28;1.03;6.69;94;44;8.4;994;M
Uncharted 2: Among Thieves;PS3;2009;Action;Sony Computer Entertainment;3.27;2.2;0.21;0.98;6.67;96;105;8.8;5226;T
FIFA 12;PS3;2011;Sports;Electronic Arts;0.84;4.3;0.11;1.4;6.65; ; ; ; ;
Big Brain Academy;DS;2005;Misc;Nintendo;1.66;2.75;1.6;0.62;6.63;74;45;7.4;27;E
The Legend of Zelda;NES;1986;Action;Nintendo;3.74;0.93;1.69;0.14;6.51; ; ; ; ;
Red Dead Redemption;PS3;2010;Action;Take-Two Interactive;2.8;2.53;0.17;1;6.51;95;73;8.9;2475;M
FIFA 14;PS3;2013;Sports;Electronic Arts;0.79;4.24;0.07;1.38;6.48;86;37;4.3;576;E
Donkey Kong Country Returns;Wii;2010;Platform;Nintendo;3.18;1.8;1.03;0.46;6.47;87;77;8.6;368;E
Assassins Creed III;PS3;2012;Action;Ubisoft;2.65;2.52;0.16;1.12;6.46;85;41;6.9;1314;M
Halo: Combat Evolved;X;2001;Shooter;Microsoft Game Studios;4.98;1.3;0.08;0.07;6.43;97;68;8.6;1292;M
The Elder Scrolls V: Skyrim;PS3;2011;Role-Playing;Bethesda Softworks;2.56;2.61;0.25;1;6.42;92;16;6.4;2530;M
Pok\xc3\xa9mon Emerald Version;GBA;2004;Role-Playing;Nintendo;2.57;1.58;2.06;0.21;6.41;76;28;9;223;E
Kingdom Hearts;PS2;2002;Role-Playing;Sony Computer Entertainment;3.64;1.2;1.49;0.07;6.4;85;46;8.8;610;E
Pok\xc3\xa9mon Crystal Version;G;2000;Role-Playing;Nintendo;2.55;1.56;1.29;0.99;6.39; ; ; ; ;
Red Dead Redemption;X360;2010;Action;Take-Two Interactive;3.71;1.97;0.09;0.58;6.35;95;96;9;2327;M
Halo 3: ODST;X360;2009;Shooter;Microsoft Game Studios;4.34;1.34;0.06;0.61;6.34;83;94;7.1;1166;M
Super Mario Sunshine;GC;2002;Platform;Nintendo;4.01;1.26;0.87;0.17;6.31;92;61;8.6;444;E
World of Warcraft;PC;2004;Role-Playing;Activision;0.09;6.22;0;0;6.31;93;57;7.3;2199;T
Street Fighter II: The World Warrior;SNES;1992;Fighting;Capcom;2.47;0.83;2.87;0.12;6.3; ; ; ; ;
Driver;PS;1999;Action;GT Interactive;3.11;2.8;0.02;0.33;6.27;87;22;8;81;T
Gears of War 3;X360;2011;Shooter;Microsoft Game Studios;4.05;1.59;0.07;0.5;6.21;91;96;7.8;1510;M
Kinect Sports;X360;2010;Sports;Microsoft Game Studios;3.92;1.73;0.03;0.51;6.19;73;51;7.4;95;E10+
Gears of War;X360;2006;Shooter;Microsoft Game Studios;3.54;1.88;0.07;0.6;6.09;94;88;8.3;2301;M
FIFA 15;PS4;2014;Sports;Electronic Arts;0.8;4.33;0.05;0.91;6.08;82;47;5.7;993;E
Metal Gear Solid 2: Sons of Liberty;PS2;2001;Action;Konami Digital Entertainment;2.45;2.01;0.87;0.72;6.05;96;42;8.7;1035;M
Sonic the Hedgehog 2;GEN;1992;Platform;Sega;4.47;1.2;0.16;0.19;6.03; ; ; ; ;
Metal Gear Solid;PS;1998;Action;Konami Digital Entertainment;3.18;1.83;0.78;0.24;6.03;94;20;9.4;934;M
Metal Gear Solid 4: Guns of the Patriots;PS3;2008;Action;Konami Digital Entertainment;2.63;1.71;0.83;0.82;5.99;94;82;8.7;3575;M
Final Fantasy XII;PS2;2006;Role-Playing;Square Enix;1.88;0;2.33;1.74;5.95;92;64;7.7;982;T
The Last of Us;PS3;2013;Action;Sony Computer Entertainment Europe;2.41;2.19;0.29;0.99;5.89;95;98;9.1;8039;M
LittleBigPlanet;PS3;2008;Platform;Sony Computer Entertainment;2.8;1.98;0.17;0.87;5.82;95;85;6.8;5319;E
Resident Evil 2;PS;1998;Action;Virgin Interactive;1.88;1.47;2.02;0.45;5.82;89;13;9.2;369;M
Call of Duty: Infinite Warfare;PS4;2016;Shooter;Activision;2.15;2.57;0.16;0.93;5.8;77;86;3.5;1208;M
Dragon Quest IX: Sentinels of the Starry Skies;DS;2009;Role-Playing;Nintendo;0.63;0.67;4.35;0.15;5.78;87;65;8.8;202;E10+
Tekken 2;PS;1996;Fighting;Sony Computer Entertainment;2.26;1.89;1.36;0.23;5.74;89;8;8.9;102;T
Grand Theft Auto V;XOne;2014;Action;Take-Two Interactive;2.93;2.32;0;0.49;5.74;97;14;7.9;774;M
Destiny;PS4;2014;Shooter;Activision;2.5;2.07;0.16;0.93;5.66;76;95;6.1;5389;T
LEGO Star Wars: The Complete Saga;Wii;2007;Action;LucasArts;3.57;1.56;0;0.51;5.64;80;17;8.9;62;E10+
Cooking Mama;DS;2006;Simulation;505 Games;3.08;1.91;0.07;0.57;5.64;67;35;7.2;21;E
Tetris;NES;1988;Puzzle;Nintendo;2.97;0.69;1.81;0.11;5.58; ; ; ; ;
Super Smash Bros.;N64;1999;Fighting;Nintendo;2.95;0.6;1.97;0.04;5.55; ; ; ; ;
Assassins Creed II;PS3;2009;Action;Ubisoft;2.54;1.93;0.21;0.86;5.55;91;70;8.6;1212;M
Assassins Creed;X360;2007;Adventure;Ubisoft;3.28;1.64;0.07;0.56;5.54;81;77;7.7;1084;M
Forza Motorsport 3;X360;2009;Racing;Microsoft Game Studios;2.99;1.9;0.1;0.5;5.49;92;90;8;516;E
Super Mario Advance;GBA;2001;Platform;Nintendo;3.14;1.24;0.91;0.2;5.49;84;19;7.8;42;E
Batman: Arkham City;PS3;2011;Action;Warner Bros. Interactive Entertainment;2.71;1.85;0.11;0.81;5.48;96;42;8.6;2174;T
Monster Hunter Freedom Unite;PSP;2008;Role-Playing;Capcom;0.47;0.55;4.13;0.34;5.48;81;48;8.7;124;T
Mario Kart: Super Circuit;GBA;2001;Racing;Nintendo;2.62;1.64;0.99;0.23;5.47;93;24;8.3;108;E
Super Mario World;GBA;2001;Platform;Nintendo;3.21;1.11;0.95;0.2;5.46; ; ; ; ;
Pokemon Stadium;N64;1999;Strategy;Nintendo;3.18;1.24;0.94;0.09;5.45; ; ; ; ;
Crash Bandicoot: The Wrath of Cortex;PS2;2001;Platform;Universal Interactive;2.07;2.29;0.24;0.82;5.42;66;22;7.1;161;E
Minecraft;PS3;2014;Misc;Sony Computer Entertainment;2.1;2.42;0;0.89;5.41; ; ; ; ;
Call of Duty: World at War;PS3;2008;Shooter;Activision;2.73;1.83;0;0.83;5.4;85;45;7.6;410;M
Tomodachi Life;3DS;2013;Simulation;Nintendo;0.99;2.23;1.91;0.25;5.39;71;52;7.6;156;E
Dr. Mario;G;1989;Puzzle;Nintendo;2.18;0.96;2;0.2;5.34; ; ; ; ;
Final Fantasy XIII;PS3;2009;Role-Playing;Square Enix;1.75;1.21;1.87;0.51;5.34;83;83;7.2;2506;T
Pokemon Pinball;G;1999;Misc;Nintendo;3.02;1.12;1.01;0.16;5.31; ; ; ; ;
Final Fantasy IX;PS;2000;Role-Playing;SquareSoft;1.62;0.77;2.78;0.14;5.3;94;22;8.9;792;T
Battlefield 1;PS4;2016;Shooter;Electronic Arts;1.45;2.81;0.23;0.81;5.3;89;33;8.4;896;M
New Super Mario Bros. U;WiiU;2012;Platform;Nintendo;2.3;1.4;1.28;0.32;5.29;84;70;8.1;734;E
Assassins Creed III;X360;2012;Action;Ubisoft;3.13;1.69;0.03;0.44;5.29;84;61;6.8;1204;M
Final Fantasy X-2;PS2;2003;Role-Playing;Electronic Arts;1.92;1.08;2.11;0.17;5.29;85;45;6.6;404;T
Call of Duty: Advanced Warfare;XOne;2014;Shooter;Activision;3.24;1.55;0.01;0.48;5.28;81;53;5.4;900;M
Donkey Kong 64;N64;1999;Platform;Nintendo;3.33;0.79;1.09;0.06;5.27; ; ; ; ;
Assassins Creed II;X360;2009;Action;Ubisoft;3.12;1.55;0.08;0.52;5.27;90;82;8.8;1320;M
Tomb Raider II;PS;1997;Action;Eidos Interactive;2.3;2.46;0.2;0.28;5.24;85;13; ; ;T
Madden NFL 2004;PS2;2003;Sports;Electronic Arts;4.26;0.26;0.01;0.71;5.23;94;29;8.5;140;E
Dragon Quest VIII: Journey of the Cursed King;PS2;2004;Role-Playing;Square Enix;0.65;0.75;3.61;0.2;5.21;89;63;8.8;249;T
Super Mario Bros. 3;GBA;2003;Platform;Nintendo;2.93;1.25;0.83;0.2;5.2; ; ; ; ;
Professor Layton and the Curious Village;DS;2007;Puzzle;Nintendo;1.21;2.43;1.03;0.52;5.19;85;72;8.6;149;E
Super Mario Land 3: Wario Land;G;1994;Platform;Nintendo;2.49;0.98;1.57;0.15;5.19; ; ; ; ;
FIFA Soccer 13;X360;2012;Action;Electronic Arts;1.09;3.47;0.03;0.58;5.17;90;48;6.1;404;E
Diablo III;PC;2012;Role-Playing;Activision;2.45;2.17;0;0.54;5.17;88;86;4;9643;M
Donkey Kong Country 2: Diddys Kong Quest;SNES;1995;Platform;Nintendo;2.1;0.74;2.2;0.11;5.15; ; ; ; ;
Medal of Honor: Rising Sun;PS2;2003;Shooter;Electronic Arts;1.98;2.23;0.13;0.8;5.13;68;30;7.6;100;T
Kirbys Dream Land;G;1992;Platform;Nintendo;2.71;0.61;1.7;0.11;5.13; ; ; ; ;
Microsoft Flight Simulator;PC;1996;Simulation;Microsoft Game Studios;3.22;1.69;0;0.2;5.12; ; ; ; ;
Guitar Hero II;PS2;2006;Misc;RedOctane;3.81;0.63;0;0.68;5.12;92;69;8.5;113;T
Fable III;X360;2010;Role-Playing;Microsoft Game Studios;3.59;1.08;0.05;0.38;5.1;80;88;6.5;608;M
Mario & Sonic at the Olympic Games;DS;2008;Sports;Sega;1.63;2.45;0.44;0.57;5.09; ; ; ; ;
Resident Evil 5;PS3;2009;Action;Capcom;1.96;1.41;1.08;0.64;5.09;84;76;7.5;671;M
The Legend of Zelda: Phantom Hourglass;DS;2007;Action;Nintendo;1.85;1.8;0.95;0.48;5.08;90;57;8;418;E
FIFA Soccer 11;PS3;2010;Sports;Electronic Arts;0.61;3.28;0.06;1.12;5.07;89;51;8;233;E
Super Mario Bros.;G;1999;Platform;Nintendo;3.4;1.3;0.15;0.22;5.07; ; ; ; ;
The Last of Us;PS4;2014;Action;Sony Computer Entertainment;2.04;2.12;0.07;0.83;5.06; ; ; ; ;
Resident Evil;PS;1996;Action;Virgin Interactive;2.05;1.16;1.11;0.73;5.05;91;8;9;268;M
Grand Theft Auto: Vice City Stories;PSP;2006;Action;Take-Two Interactive;1.7;1.99;0.16;1.19;5.03;86;50;8;152;M
Tony Hawks Pro Skater;PS;1999;Sports;Activision;3.42;1.38;0.02;0.2;5.02;92;18;9.2;69;T
Warzone 2100;PS;1999;Strategy;Eidos Interactive;2.79;1.89;0;0.33;5.01; ; ; ; ;
Spyro the Dragon;PS;1998;Platform;Sony Computer Entertainment;3.36;1.36;0.07;0.21;5; ; ; ; ;
Guitar Hero III: Legends of Rock;PS2;2007;Misc;Activision;3.49;0.01;0.01;1.48;4.98;82;24;8.2;47;T
Links Crossbow Training;Wii;2007;Shooter;Nintendo;3.05;1.17;0.29;0.46;4.98;68;34;7.1;47;T
Fallout 3;X360;2008;Role-Playing;Bethesda Softworks;3.4;0.99;0.09;0.45;4.94;93;84;8.5;1658;M
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness;DS;2007;Role-Playing;Nintendo;1.83;1.19;1.54;0.37;4.93; ; ; ; ;
Super Smash Bros. for Wii U and 3DS;WiiU;2014;Fighting;Nintendo;2.63;1.1;0.82;0.38;4.93; ; ; ; ;
Uncharted: Drakes Fortune;PS3;2007;Action;Sony Computer Entertainment;2.32;1.72;0.12;0.77;4.92;88;66;8.1;2332;T
Madden NFL 06;PS2;2005;Sports;Electronic Arts;3.98;0.26;0.01;0.66;4.91;88;29;8;121;E
Diddy Kong Racing;N64;1997;Racing;Nintendo;2.91;0.99;0.89;0.1;4.88; ; ; ; ;
Monster Hunter Freedom 3;PSP;2010;Role-Playing;Capcom;0;0;4.87;0;4.87; ; ; ; ;
StarCraft II: Wings of Liberty;PC;2010;Strategy;Activision;2.58;1.69;0;0.59;4.85;93;82;8.2;3057;T
Dr. Mario;NES;1990;Puzzle;Nintendo;2.62;0.6;1.52;0.1;4.85; ; ; ; ;
Assassins Creed;PS3;2007;Adventure;Ubisoft;1.91;2;0.09;0.82;4.82;81;40;7.3;777;M
