Name;Platform;Year_of_Release;Genre;Publisher;Global_Sales;User_Score;Price
FIFA 16;PS4;2015;Sports;Electronic Arts;8.6;4.3;18
Halo 2;X;2004;Shooter;Microsoft Game Studios;8.49;8.2;42
Wii Party;Wii;2010;Misc;Nintendo;8.39;7.5;11
Mario Party 8;Wii;2007;Misc;Nintendo;8.28;6.3;43
Star Wars Battlefront (2015);PS4;2015;Shooter;Electronic Arts;8.21;0;44
FIFA Soccer 13;PS3;2012;Action;Electronic Arts;8.17;6.5;42
GoldenEye 007;N64;1997;Shooter;Nintendo;8.09;0;4
Pokemon Black 2/Pokemon White 2;DS;2012;Role-Playing;Nintendo;8.08;0;42
Final Fantasy X;PS2;2001;Role-Playing;Sony Computer Entertainment;8.05;8.7;36
The Sims 3;PC;2009;Simulation;Electronic Arts;8.01;7.6;41
Mario & Sonic at the Olympic Games;Wii;2007;Sports;Sega;7.99;0;20
Final Fantasy VIII;PS;1999;Role-Playing;SquareSoft;7.86;8.6;2
Pac-Man;2600;1982;Puzzle;Atari;7.81;0;12
Pok\xc3\xa9mon Platinum Version;DS;2008;Role-Playing;Nintendo;7.72;8.5;31
Grand Theft Auto: Liberty City Stories;PSP;2005;Action;Take-Two Interactive;7.69;7.6;39
Call of Duty: Advanced Warfare;PS4;2014;Shooter;Activision;7.68;5.7;25
Super Smash Bros. for Wii U and 3DS;3DS;2014;Fighting;Nintendo;7.62;0;10
The Legend of Zelda: Ocarina of Time;N64;1998;Action;Nintendo;7.6;0;4
Crash Bandicoot 2: Cortex Strikes Back;PS;1997;Platform;Sony Computer Entertainment;7.58;0;9
Super Mario Galaxy 2;Wii;2010;Platform;Nintendo;7.54;9.1;37
Super Mario Bros. 2;NES;1988;Platform;Nintendo;7.46;0;5
Call of Duty: Black Ops 3;XOne;2015;Shooter;Activision;7.44;0;37
Call of Duty: World at War;X360;2008;Shooter;Activision;7.42;7.6;15
Fallout 4;PS4;2015;Role-Playing;Bethesda Softworks;7.41;6.5;13
Battlefield 3;X360;2011;Shooter;Electronic Arts;7.33;7.4;36
Uncharted 4: A Thiefs End;PS4;2016;Shooter;Sony Computer Entertainment;7.28;7.9;11
Mario Kart 8;WiiU;2014;Racing;Nintendo;7.23;9.1;33
Need for Speed Underground;PS2;2003;Racing;Electronic Arts;7.2;8.6;23
Just Dance;Wii;2009;Misc;Ubisoft;7.2;8;11
Battlefield 3;PS3;2011;Shooter;Electronic Arts;7.18;7.5;10
Tekken 3;PS;1998;Fighting;Sony Computer Entertainment;7.16;9.1;4
The Legend of Zelda: Twilight Princess;Wii;2006;Action;Nintendo;7.16;9;34
Crash Bandicoot 3: Warped;PS;1998;Platform;Sony Computer Entertainment;7.13;8.9;3
Super Smash Bros. Melee;GC;2001;Fighting;Nintendo;7.07;9.1;15
Mario Kart: Double Dash!!;GC;2003;Racing;Nintendo;6.95;0;17
Need for Speed Underground 2;PS2;2004;Racing;Electronic Arts;6.9;8.6;18
Medal of Honor: Frontline;PS2;2002;Shooter;Electronic Arts;6.83;8.5;32
Crash Bandicoot;PS;1996;Platform;Sony Computer Entertainment;6.82;0;11
Just Dance 4;Wii;2012;Misc;Ubisoft;6.76;7.2;43
Gears of War 2;X360;2008;Shooter;Microsoft Game Studios;6.75;7.7;42
Uncharted 3: Drakes Deception;PS3;2011;Action;Sony Computer Entertainment;6.74;8.3;14
Zumba Fitness;Wii;2010;Sports;505 Games;6.72;0;39
Call of Duty 4: Modern Warfare;PS3;2007;Shooter;Activision;6.69;8.4;29
Uncharted 2: Among Thieves;PS3;2009;Action;Sony Computer Entertainment;6.67;8.8;21
FIFA 12;PS3;2011;Sports;Electronic Arts;6.65;0;44
Big Brain Academy;DS;2005;Misc;Nintendo;6.63;7.4;33
The Legend of Zelda;NES;1986;Action;Nintendo;6.51;0;5
Red Dead Redemption;PS3;2010;Action;Take-Two Interactive;6.51;8.9;40
FIFA 14;PS3;2013;Sports;Electronic Arts;6.48;4.3;37
Donkey Kong Country Returns;Wii;2010;Platform;Nintendo;6.47;8.6;17
Assassins Creed III;PS3;2012;Action;Ubisoft;6.46;6.9;16
Halo: Combat Evolved;X;2001;Shooter;Microsoft Game Studios;6.43;8.6;20
The Elder Scrolls V: Skyrim;PS3;2011;Role-Playing;Bethesda Softworks;6.42;6.4;17
Pok\xc3\xa9mon Emerald Version;GBA;2004;Role-Playing;Nintendo;6.41;9;21
Kingdom Hearts;PS2;2002;Role-Playing;Sony Computer Entertainment;6.4;8.8;31
Pok\xc3\xa9mon Crystal Version;G;2000;Role-Playing;Nintendo;6.39;0;34
Red Dead Redemption;X360;2010;Action;Take-Two Interactive;6.35;9;24
Halo 3: ODST;X360;2009;Shooter;Microsoft Game Studios;6.34;7.1;25
Super Mario Sunshine;GC;2002;Platform;Nintendo;6.31;8.6;30
World of Warcraft;PC;2004;Role-Playing;Activision;6.31;7.3;41
Street Fighter II: The World Warrior;SNES;1992;Fighting;Capcom;6.3;0;4
Driver;PS;1999;Action;GT Interactive;6.27;8;10
Gears of War 3;X360;2011;Shooter;Microsoft Game Studios;6.21;7.8;10
Kinect Sports;X360;2010;Sports;Microsoft Game Studios;6.19;7.4;23
Gears of War;X360;2006;Shooter;Microsoft Game Studios;6.09;8.3;15
FIFA 15;PS4;2014;Sports;Electronic Arts;6.08;5.7;23
Metal Gear Solid 2: Sons of Liberty;PS2;2001;Action;Konami Digital Entertainment;6.05;8.7;17
Sonic the Hedgehog 2;GEN;1992;Platform;Sega;6.03;0;10
Metal Gear Solid;PS;1998;Action;Konami Digital Entertainment;6.03;9.4;6
Metal Gear Solid 4: Guns of the Patriots;PS3;2008;Action;Konami Digital Entertainment;5.99;8.7;14
Final Fantasy XII;PS2;2006;Role-Playing;Square Enix;5.95;7.7;23
The Last of Us;PS3;2013;Action;Sony Computer Entertainment Europe;5.89;9.1;15
LittleBigPlanet;PS3;2008;Platform;Sony Computer Entertainment;5.82;6.8;24
Resident Evil 2;PS;1998;Action;Virgin Interactive;5.82;9.2;5
Call of Duty: Infinite Warfare;PS4;2016;Shooter;Activision;5.8;3.5;23
Dragon Quest IX: Sentinels of the Starry Skies;DS;2009;Role-Playing;Nintendo;5.78;8.8;42
Tekken 2;PS;1996;Fighting;Sony Computer Entertainment;5.74;8.9;9
Grand Theft Auto V;XOne;2014;Action;Take-Two Interactive;5.74;7.9;31
Destiny;PS4;2014;Shooter;Activision;5.66;6.1;12
LEGO Star Wars: The Complete Saga;Wii;2007;Action;LucasArts;5.64;8.9;17
Cooking Mama;DS;2006;Simulation;505 Games;5.64;7.2;35
Tetris;NES;1988;Puzzle;Nintendo;5.58;0;11
Super Smash Bros.;N64;1999;Fighting;Nintendo;5.55;0;7
Assassins Creed II;PS3;2009;Action;Ubisoft;5.55;8.6;12
Assassins Creed;X360;2007;Adventure;Ubisoft;5.54;7.7;35
Forza Motorsport 3;X360;2009;Racing;Microsoft Game Studios;5.49;8;29
Super Mario Advance;GBA;2001;Platform;Nintendo;5.49;7.8;10
Batman: Arkham City;PS3;2011;Action;Warner Bros. Interactive Entertainment;5.48;8.6;14
Monster Hunter Freedom Unite;PSP;2008;Role-Playing;Capcom;5.48;8.7;41
Mario Kart: Super Circuit;GBA;2001;Racing;Nintendo;5.47;8.3;22
Super Mario World;GBA;2001;Platform;Nintendo;5.46;0;41
Pokemon Stadium;N64;1999;Strategy;Nintendo;5.45;0;6
Crash Bandicoot: The Wrath of Cortex;PS2;2001;Platform;Universal Interactive;5.42;7.1;14
Minecraft;PS3;2014;Misc;Sony Computer Entertainment;5.41;0;14
Call of Duty: World at War;PS3;2008;Shooter;Activision;5.4;7.6;23
Tomodachi Life;3DS;2013;Simulation;Nintendo;5.39;7.6;44
Dr. Mario;G;1989;Puzzle;Nintendo;5.34;0;2
Final Fantasy XIII;PS3;2009;Role-Playing;Square Enix;5.34;7.2;40
Pokemon Pinball;G;1999;Misc;Nintendo;5.31;0;6
Final Fantasy IX;PS;2000;Role-Playing;SquareSoft;5.3;8.9;12
Battlefield 1;PS4;2016;Shooter;Electronic Arts;5.3;8.4;33
New Super Mario Bros. U;WiiU;2012;Platform;Nintendo;5.29;8.1;22
Assassins Creed III;X360;2012;Action;Ubisoft;5.29;6.8;36
Final Fantasy X-2;PS2;2003;Role-Playing;Electronic Arts;5.29;6.6;22
Call of Duty: Advanced Warfare;XOne;2014;Shooter;Activision;5.28;5.4;13
Donkey Kong 64;N64;1999;Platform;Nintendo;5.27;0;12
Assassins Creed II;X360;2009;Action;Ubisoft;5.27;8.8;29
Tomb Raider II;PS;1997;Action;Eidos Interactive;5.24;0;6
Madden NFL 2004;PS2;2003;Sports;Electronic Arts;5.23;8.5;33
Dragon Quest VIII: Journey of the Cursed King;PS2;2004;Role-Playing;Square Enix;5.21;8.8;18
Super Mario Bros. 3;GBA;2003;Platform;Nintendo;5.2;0;18
Professor Layton and the Curious Village;DS;2007;Puzzle;Nintendo;5.19;8.6;10
Super Mario Land 3: Wario Land;G;1994;Platform;Nintendo;5.19;0;12
FIFA Soccer 13;X360;2012;Action;Electronic Arts;5.17;6.1;15
Diablo III;PC;2012;Role-Playing;Activision;5.17;4;43
Donkey Kong Country 2: Diddys Kong Quest;SNES;1995;Platform;Nintendo;5.15;0;7
Medal of Honor: Rising Sun;PS2;2003;Shooter;Electronic Arts;5.13;7.6;38
Kirbys Dream Land;G;1992;Platform;Nintendo;5.13;0;3
Microsoft Flight Simulator;PC;1996;Simulation;Microsoft Game Studios;5.12;0;4
Guitar Hero II;PS2;2006;Misc;RedOctane;5.12;8.5;38
Fable III;X360;2010;Role-Playing;Microsoft Game Studios;5.1;6.5;20
Mario & Sonic at the Olympic Games;DS;2008;Sports;Sega;5.09;0;42
Resident Evil 5;PS3;2009;Action;Capcom;5.09;7.5;19
The Legend of Zelda: Phantom Hourglass;DS;2007;Action;Nintendo;5.08;8;14
FIFA Soccer 11;PS3;2010;Sports;Electronic Arts;5.07;8;38
Super Mario Bros.;G;1999;Platform;Nintendo;5.07;0;2
The Last of Us;PS4;2014;Action;Sony Computer Entertainment;5.06;0;15
Resident Evil;PS;1996;Action;Virgin Interactive;5.05;9;9
Grand Theft Auto: Vice City Stories;PSP;2006;Action;Take-Two Interactive;5.03;8;30
Tony Hawks Pro Skater;PS;1999;Sports;Activision;5.02;9.2;3
Warzone 2100;PS;1999;Strategy;Eidos Interactive;5.01;0;7
Spyro the Dragon;PS;1998;Platform;Sony Computer Entertainment;5;0;13
Guitar Hero III: Legends of Rock;PS2;2007;Misc;Activision;4.98;8.2;33
Links Crossbow Training;Wii;2007;Shooter;Nintendo;4.98;7.1;22
Fallout 3;X360;2008;Role-Playing;Bethesda Softworks;4.94;8.5;21
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness;DS;2007;Role-Playing;Nintendo;4.93;0;31
Super Smash Bros. for Wii U and 3DS;WiiU;2014;Fighting;Nintendo;4.93;0;30
Uncharted: Drakes Fortune;PS3;2007;Action;Sony Computer Entertainment;4.92;8.1;34
Madden NFL 06;PS2;2005;Sports;Electronic Arts;4.91;8;16
Diddy Kong Racing;N64;1997;Racing;Nintendo;4.88;0;14
Monster Hunter Freedom 3;PSP;2010;Role-Playing;Capcom;4.87;0;30
StarCraft II: Wings of Liberty;PC;2010;Strategy;Activision;4.85;8.2;19
Dr. Mario;NES;1990;Puzzle;Nintendo;4.85;0;5
Assassins Creed;PS3;2007;Adventure;Ubisoft;4.82;7.3;32
God of War III;PS3;2010;Action;Sony Computer Entertainment;4.8;8.7;26
Uncharted: The Nathan Drake Collection;PS4;2015;Action;Sony Computer Entertainment;4.8;8.1;28
Crash Team Racing;PS;1999;Racing;Sony Computer Entertainment;4.79;9;13
LEGO Star Wars: The Complete Saga;DS;2007;Action;LucasArts;4.76;5.4;24
Driver 2;PS;2000;Action;Atari;4.73;7.7;39
Batman: Arkham City;X360;2011;Action;Warner Bros. Interactive Entertainment;4.73;8.7;12
The Simpsons: Hit & Run;PS2;2003;Racing;Vivendi Games;4.7;0;23
Tony Hawks Pro Skater 2;PS;2000;Sports;Activision;4.68;7.7;41
The Lord of the Rings: The Two Towers;PS2;2002;Action;Electronic Arts;4.67;8.2;15
Tomb Raider;PS;1996;Action;Eidos Interactive;4.63;8.6;8
Animal Crossing: City Folk;Wii;2008;Simulation;Nintendo;4.62;7.6;39
Luigis Mansion: Dark Moon;3DS;2013;Action;Nintendo;4.62;8.4;30
Minecraft;PS4;2014;Misc;Sony Computer Entertainment Europe;4.62;0;12
Halo 5: Guardians;XOne;2015;Shooter;Microsoft Game Studios;4.61;6.4;34
The Legend of Zelda: A Link to the Past;SNES;1991;Action;Nintendo;4.61;0;5
The Legend of Zelda: The Wind Waker;GC;2002;Action;Nintendo;4.6;8.9;10
Guitar Hero III: Legends of Rock;Wii;2007;Misc;Activision;4.6;8.4;34
Forza Motorsport 4;X360;2011;Racing;Microsoft Game Studios;4.57;8.2;12
Splatoon;WiiU;2015;Shooter;Nintendo;4.54;8.5;41
Mario & Sonic at the Olympic Winter Games;Wii;2009;Sports;Sega;4.53;0;27
Madden NFL 2005;PS2;2004;Sports;Electronic Arts;4.53;7.9;34
Guitar Hero III: Legends of Rock;X360;2007;Misc;Activision;4.53;7.9;36
The Legend of Zelda: Ocarina of Time;3DS;2011;Action;Nintendo;4.51;0;26
Pitfall!;2600;1981;Platform;Activision;4.5;0;12
Madden NFL 07;PS2;2006;Sports;Electronic Arts;4.49;8.2;33
Spider-Man: The Movie;PS2;2002;Action;Activision;4.48;7.9;34
Super Mario 3D World;WiiU;2013;Platform;Nintendo;4.47;9;16
Dragon Quest VII: Warriors of Eden;PS;2000;Role-Playing;Enix Corporation;4.47;0;22
God of War;PS2;2005;Action;Sony Computer Entertainment;4.45;8.9;21
Nintendo Land;WiiU;2012;Misc;Nintendo;4.42;7.9;21
Tony Hawks Pro Skater 3;PS2;2001;Sports;Activision;4.41;7.5;11
Winning Eleven: Pro Evolution Soccer 2007;PS2;2006;Sports;Konami Digital Entertainment;4.39;8.9;30
The Elder Scrolls IV: Oblivion;X360;2006;Role-Playing;Take-Two Interactive;4.39;8.7;19
Zelda II: The Adventure of Link;NES;1987;Adventure;Nintendo;4.38;0;7
Call of Duty: Advanced Warfare;PS3;2014;Shooter;Activision;4.38;4.8;17
Fallout 4;XOne;2015;Role-Playing;Bethesda Softworks;4.37;6.2;22
Need for Speed: Most Wanted;PS2;2005;Racing;Electronic Arts;4.37;9.1;12
Michael Jackson: The Experience;Wii;2010;Misc;Ubisoft;4.36;8.3;42
Resistance: Fall of Man;PS3;2006;Shooter;Sony Computer Entertainment;4.35;8.1;19
Sonic the Hedgehog;GEN;1991;Platform;Sega;4.34;0;11
Kingdom Hearts II;PS2;2005;Role-Playing;Square Enix;4.33;9;41
Call of Duty: Advanced Warfare;X360;2014;Shooter;Activision;4.32;4.9;25
Asteroids;2600;1980;Shooter;Atari;4.31;0;3
FIFA 15;PS3;2014;Sports;Electronic Arts;4.28;4.5;25
Fable II;X360;2008;Role-Playing;Microsoft Game Studios;4.27;6.5;33
Batman: Arkham Asylum;PS3;2009;Action;Eidos Interactive;4.24;8.9;10
Namco Museum;GBA;2001;Misc;Namco Bandai Games;4.24;7.3;20
Metal Gear Solid 3: Snake Eater;PS2;2004;Action;Konami Digital Entertainment;4.23;9.3;11
FIFA 14;X360;2013;Sports;Electronic Arts;4.22;4.2;20
Assassins Creed: Revelations;PS3;2011;Action;Ubisoft;4.22;7.5;39
Daxter;PSP;2006;Platform;Sony Computer Entertainment;4.21;8.7;36
Warcraft II: Tides of Darkness;PC;1995;Strategy;Activision;4.21;0;2
FIFA Soccer 06;PS2;2005;Sports;Electronic Arts;4.21;7.8;18
EyeToy Play;PS2;2003;Misc;Sony Computer Entertainment;4.2;7.5;37
Assassins Creed: Revelations;X360;2011;Action;Ubisoft;4.2;7.2;25
Gran Turismo 5 Prologue;PS3;2007;Racing;Sony Computer Entertainment;4.19;7.1;29
FIFA 12;X360;2011;Sports;Electronic Arts;4.18;0;25
Teenage Mutant Ninja Turtles;NES;1989;Action;Palcom;4.17;0;5
Street Fighter IV;PS3;2009;Fighting;Capcom;4.17;7.3;26
Excitebike;NES;1984;Racing;Nintendo;4.16;0;6
Frogger;PS;1997;Action;Hasbro Interactive;4.16;0;13
Madden NFL 2003;PS2;2002;Sports;Electronic Arts;4.14;7.7;35
The Witcher 3: Wild Hunt;PS4;2015;Role-Playing;Namco Bandai Games;4.14;9.2;15
Half-Life;PC;1997;Shooter;Vivendi Games;4.12;9.1;9
Super Mario World 2: Yoshis Island;SNES;1995;Platform;Nintendo;4.12;0;6
FIFA Soccer 07;PS2;2006;Sports;Electronic Arts;4.11;0;14
Street Fighter II Turbo;SNES;1992;Fighting;Capcom;4.1;0;8
Watch Dogs;PS4;2014;Action;Ubisoft;4.09;6.3;15
World of Warcraft: The Burning Crusade;PC;2007;Role-Playing;Activision;4.09;7.9;32
Batman: Arkham Knight;PS4;2015;Action;Warner Bros. Interactive Entertainment;4.09;7.6;14
God of War II;PS2;2007;Action;Sony Computer Entertainment;4.07;8.9;40
Far Cry 4;PS4;2014;Shooter;Ubisoft;4.06;7.7;42
Fallout: New Vegas;X360;2010;Role-Playing;Bethesda Softworks;4.06;8.1;40
World Soccer Winning Eleven 9;PS2;2005;Sports;Konami Digital Entertainment;4.06;8.2;22
Carnival Games;Wii;2007;Misc;Take-Two Interactive;4.05;6;28
Forza Motorsport 2;X360;2007;Racing;Microsoft Game Studios;4.05;8.3;12
Namco Museum Vol.3;PS;1996;Misc;Sony Computer Entertainment;4.05;0;5
Tekken Tag Tournament;PS2;2000;Fighting;Namco Bandai Games;4.05;8.5;26
Star Fox 64;N64;1997;Shooter;Nintendo;4.03;0;7
Golf;NES;1984;Sports;Nintendo;4.01;0;12
Tom Clancys The Division;PS4;2016;Shooter;Ubisoft;4;7;36
Assassins Creed: Unity;PS4;2014;Action;Ubisoft;3.99;4.9;20
Namco Museum: 50th Anniversary;PS2;2005;Misc;Namco Bandai Games;3.98;0;30
Left 4 Dead 2;X360;2009;Shooter;Electronic Arts;3.97;8.6;14
Fallout 3;PS3;2008;Role-Playing;Bethesda Softworks;3.95;8;14
The Legend of Zelda: Skyward Sword;Wii;2011;Action;Nintendo;3.95;7.9;39
Professor Layton and the Diabolical Box;DS;2007;Puzzle;Nintendo;3.94;8.8;11
The Elder Scrolls V: Skyrim;PC;2011;Role-Playing;Bethesda Softworks;3.92;8.1;33
Nintendogs + cats;3DS;2011;Simulation;Nintendo;3.92;0;35
Monster Hunter 4 Ultimate;3DS;2014;Role-Playing;Nintendo;3.92;8.7;13
Star Wars Battlefront (2015);XOne;2015;Shooter;Electronic Arts;3.91;0;34
Donkey Kong Land;G;1994;Platform;Nintendo;3.91;0;7
EA Sports Active;Wii;2009;Sports;Electronic Arts;3.91;8.7;34
NBA 2K16;PS4;2015;Sports;Take-Two Interactive;3.9;6.7;40
Tony Hawks Underground;PS2;2003;Sports;Activision;3.9;8.7;26
Tekken 5;PS2;2005;Fighting;Namco Bandai Games;3.87;8.7;34
Dragon Warrior III;NES;1988;Role-Playing;Enix Corporation;3.87;0;3
MotorStorm;PS3;2006;Racing;Sony Computer Entertainment;3.87;7.3;25
World Soccer Winning Eleven 8 International;PS2;2004;Sports;Konami Digital Entertainment;3.85;9.1;16
Sports Champions;PS3;2010;Sports;Sony Computer Entertainment;3.85;7.9;18
Namco Museum Vol.1;PS;1995;Misc;Sony Computer Entertainment;3.84;0;14
Call of Duty: Ghosts;PS4;2013;Shooter;Activision;3.83;3.7;28
The Legend of Zelda: Links Awakening;G;1992;Action;Nintendo;3.83;0;12
Flash Focus: Vision Training in Minutes a Day;DS;2007;Misc;Nintendo;3.83;4;31
Big Brain Academy: Wii Degree;Wii;2007;Misc;Nintendo;3.79;6.9;25
Resident Evil Directors Cut;PS;1996;Action;Virgin Interactive;3.77;0;11
Mario & Luigi: Bowsers Inside Story;DS;2009;Role-Playing;Nintendo;3.77;0;37
LEGO Indiana Jones: The Original Adventures;X360;2008;Action;Activision;3.76;7.5;41
The Sims: Unleashed;PC;2002;Simulation;Electronic Arts;3.76;7.7;13
Ratchet & Clank: Size Matters;PSP;2007;Platform;Sony Computer Entertainment;3.74;0;27
Harry Potter and the Sorcerers Stone;PS;2001;Action;Electronic Arts;3.73;7.5;41
Assassins Creed IV: Black Flag;PS3;2013;Action;Ubisoft;3.72;8.1;24
Mario & Sonic at the London 2012 Olympic Games;Wii;2011;Sports;Sega;3.72;0;25
Resident Evil 3: Nemesis;PS;1999;Action;Eidos Interactive;3.72;0;3
Super Paper Mario;Wii;2007;Platform;Nintendo;3.72;7.9;35
Spyro: Year of the Dragon;PS;2000;Platform;Sony Computer Entertainment;3.71;8.8;21
FIFA Soccer 2005;PS2;2004;Sports;Electronic Arts;3.7;7.6;42
Pok\xc3\xa9mon Trading Card Game;G;1998;Strategy;Nintendo;3.7;0;14
Friend Collection;DS;2009;Misc;Nintendo;3.67;0;10
Tony Hawks Pro Skater 4;PS2;2002;Sports;Activision;3.67;8.5;40
MySims;DS;2007;Simulation;Electronic Arts;3.66;6.9;35
Midnight Club 3: DUB Edition;PSP;2005;Racing;Take-Two Interactive;3.65;8.4;28
Banjo-Kazooie;N64;1998;Platform;Nintendo;3.65;0;7
